"method","n_states","n_t","time","memory"
"cohort trace",17,564,0.116000000002111,1980016
"cohort trace",17,576,0.114000000000613,2007760
"cohort trace",17,588,0.115999999999155,2035504
"cohort trace",17,600,0.122999999999126,2063248
"cohort trace",17,612,0.12100000000022,2090992
"cohort trace",17,624,0.128999999999826,2118736
"cohort trace",17,636,0.126000000001034,2146480
"cohort trace",17,648,0.12800000000035,2174224
"cohort trace",17,660,0.12900000000019,2201968
"cohort trace",17,672,0.137000000000524,2229712
"cohort trace",17,684,0.132999999998412,2257456
"cohort trace",17,696,0.136000000001934,2285200
"cohort trace",17,708,0.141000000001867,2312944
"cohort trace",17,720,0.145000000001585,2340688
"cohort trace",17,732,0.143999999998834,2368432
"cohort trace",17,744,0.148000000000383,2396176
"cohort trace",17,756,0.152000000001192,2423920
"cohort trace",17,768,0.156999999999829,2451664
"cohort trace",17,780,0.160999999996796,2479408
"cohort trace",17,792,0.155000000001036,2507152
"cohort trace",17,804,0.162000000000029,2534896
"cohort trace",17,816,0.162999999997732,2562640
"cohort trace",17,828,0.162000000000069,2590384
"cohort trace",17,840,0.164999999998906,2618128
"cohort trace",17,852,0.169000000001858,2645872
"cohort trace",17,864,0.168999999999153,2673616
"cohort trace",17,876,0.168000000002752,2701360
"cohort trace",17,888,0.167000000001502,2729104
"cohort trace",17,900,0.171999999999611,2756848
"cohort trace",17,912,0.17200000000102,2784592
"cohort trace",17,924,0.172000000000651,2812336
"cohort trace",17,936,0.182000000000102,2840080
"cohort trace",17,948,0.176999999996582,2867824
"cohort trace",17,960,0.186999999999665,2895568
"cohort trace",17,972,0.185999999998734,2923312
"cohort trace",17,984,0.187999999998618,2951056
"cohort trace",17,996,0.190999999998661,2978800
"cohort trace",17,1008,0.188000000002052,3006544
"cohort trace",17,1020,0.191000000000639,3034288
"cohort trace",17,1032,0.201999999999316,3062032
"cohort trace",17,1044,0.198999999998995,3089776
"cohort trace",17,1056,0.20299999999981,3117520
"cohort trace",17,1068,0.201000000001181,3145264
"cohort trace",17,1080,0.205999999998966,3173008
"cohort trace",17,1092,0.209999999998121,3200752
"cohort trace",17,1104,0.219000000001444,3228496
"cohort trace",17,1116,0.21200000000087,3256240
"cohort trace",17,1128,0.214999999999304,3283984
"cohort trace",17,1140,0.218999999999431,3311728
"cohort trace",17,1152,0.223000000000201,3339472
"cohort trace",17,1164,0.223000000000405,3367216
"cohort trace",17,1176,0.226999999999197,3394960
"cohort trace",17,1188,0.224999999998795,3422704
"cohort trace",17,1200,0.226999999999043,3450448
"cohort trace",17,1212,0.22600000000009,3478192
"cohort trace",17,1224,0.228000000000338,3505936
"cohort trace",17,1236,0.225000000000978,3533680
"cohort trace",17,1248,0.231999999999653,3561424
"cohort trace",17,1260,0.231999999997833,3589168
"cohort trace",17,1272,0.237999999997231,3616912
"cohort trace",17,1284,0.235999999999535,3644656
"cohort trace",17,1296,0.236000000003372,3672400
"cohort trace",17,1308,0.2399999999991,3700144
"cohort trace",17,1320,0.239000000001079,3727888
"cohort trace",22,12,0.0479999999952554,1933072
"cohort trace",22,24,0.0569999999973391,1979536
"cohort trace",22,36,0.0600000000019065,2026000
"cohort trace",22,48,0.0669999999978302,2072464
"cohort trace",22,60,0.0729999999981658,2118928
"cohort trace",22,72,0.0820000000010453,2165392
"cohort trace",22,84,0.0910000000017931,2211856
"cohort trace",22,96,0.096000000000987,2258320
"cohort trace",22,108,0.10599999999643,2304784
"cohort trace",22,120,0.108000000002346,2351248
"cohort trace",22,132,0.101999999998168,2397712
"cohort trace",22,144,0.114000000001704,2444176
"cohort trace",22,156,0.119999999997833,2490640
"cohort trace",22,168,0.123999999999171,2537104
"cohort trace",22,180,0.131999999998413,2583568
"cohort trace",22,192,0.136999999999233,2630032
"cohort trace",22,204,0.135999999998137,2676496
"cohort trace",22,216,0.147000000003084,2722960
"cohort trace",22,228,0.156000000000915,2769424
"cohort trace",22,240,0.156999999998163,2815888
"cohort trace",22,252,0.160999999998052,2862352
"cohort trace",22,264,0.16699999999891,2908816
"cohort trace",22,276,0.17100000000259,2955280
"cohort trace",22,288,0.174999999998153,3001744
"cohort trace",22,300,0.179999999998808,3048208
"cohort trace",22,312,0.188000000002052,3094672
"cohort trace",22,324,0.197000000000202,3141136
"cohort trace",22,336,0.202999999998673,3187600
"cohort trace",22,348,0.203999999999974,3234064
"cohort trace",22,360,0.21199999999796,3280528
"cohort trace",22,372,0.217999999999551,3326992
"cohort trace",22,384,0.232000000001261,3373456
"cohort trace",22,396,0.236000000000263,3419920
"cohort trace",22,408,0.238999999999055,3466384
"cohort trace",22,420,0.24299999999987,3512848
"cohort trace",22,432,0.245000000003711,3559312
"cohort trace",22,444,0.252999999999884,3605776
"cohort trace",22,456,0.254999999998836,3652240
"cohort trace",22,468,0.26699999999708,3698704
"cohort trace",22,480,0.272000000000281,3745168
"cohort trace",22,492,0.28200000000154,3791632
"cohort trace",22,504,0.299999999999392,3838096
"cohort trace",22,516,0.304000000000929,3884560
"cohort trace",22,528,0.304999999997818,3931024
"cohort trace",22,540,0.314999999999492,3977488
"cohort trace",22,552,0.317999999999898,4023952
"cohort trace",22,564,0.328000000000117,4070416
"cohort trace",22,576,0.3270000000008,4116880
"cohort trace",22,588,0.324999999997647,4163344
"cohort trace",22,600,0.328000000000077,4209808
"cohort trace",22,612,0.337999999999243,4256272
"cohort trace",22,624,0.341000000000332,4302736
"cohort trace",22,636,0.348000000003213,4349200
"cohort trace",22,648,0.371999999998707,4395664
"cohort trace",22,660,0.367000000002997,4442128
"cohort trace",22,672,0.380000000001439,4488592
"cohort trace",22,684,0.377999999998531,4535056
"cohort trace",22,696,0.378000000001401,4581520
"cohort trace",22,708,0.38700000000182,4627984
"cohort trace",22,720,0.392000000000405,4674448
"cohort trace",22,732,0.396999999999605,4720912
"cohort trace",22,744,0.400999999999539,4767376
"cohort trace",22,756,0.410999999999342,4813840
"cohort trace",22,768,0.426000000002153,4860304
"cohort trace",22,780,0.42300000000049,4906768
"cohort trace",22,792,0.428999999998399,4953232
"cohort trace",22,804,0.453999999997365,4999696
"cohort trace",22,816,0.439999999998048,5046160
"cohort trace",22,828,0.438000000001528,5092624
"cohort trace",22,840,0.446000000000208,5139088
"cohort trace",22,852,0.449000000001132,5185552
"cohort trace",22,864,0.454000000000696,5232016
"cohort trace",22,876,0.467000000000485,5278480
"cohort trace",22,888,0.476999999998105,5324944
"cohort trace",22,900,0.486999999999938,5371408
"cohort trace",22,912,0.484000000000424,5417872
"cohort trace",22,924,0.498999999997727,5464336
"cohort trace",22,936,0.504999999999023,5510800
"cohort trace",22,948,0.505999999999403,5557264
"cohort trace",22,960,0.495999999998821,5603728
"cohort trace",22,972,0.509000000000378,5650192
"cohort trace",22,984,0.532999999999998,5696656
"cohort trace",22,996,0.515999999999332,5743120
"cohort trace",22,1008,0.516999999998893,5789584
"cohort trace",22,1020,0.547999999998206,5836048
"cohort trace",22,1032,0.538999999999737,5882512
"cohort trace",22,1044,0.544999999999459,5928976
"cohort trace",22,1056,0.555999999999887,5975440
"cohort trace",22,1068,0.548999999999137,6021904
"cohort trace",22,1080,0.58399999999865,6068368
"cohort trace",22,1092,0.584000000000634,6114832
"cohort trace",22,1104,0.574000000000217,6161296
"cohort trace",22,1116,0.581999999999755,6207760
"cohort trace",22,1128,0.612000000001456,6254224
"cohort trace",22,1140,0.586000000000206,6300688
"cohort trace",22,1152,0.603000000002328,6347152
"cohort trace",22,1164,0.633000000003653,6393616
"cohort trace",22,1176,0.620999999999731,6440080
"cohort trace",22,1188,0.625999999998692,6486544
"cohort trace",22,1200,0.635000000000105,6533008
"cohort trace",22,1212,0.619999999999448,6579472
"cohort trace",22,1224,0.634999999999957,6625936
"cohort trace",22,1236,0.656000000001336,6672400
"cohort trace",22,1248,0.653999999998268,6718864
"cohort trace",22,1260,0.664999999998793,6765328
"cohort trace",22,1272,0.657999999999663,6811792
"cohort trace",22,1284,0.655000000000518,6858256
"cohort trace",22,1296,0.666999999998029,6904720
"cohort trace",22,1308,0.6550000000012,6951184
"cohort trace",22,1320,0.673999999997796,6997648
"cohort trace",27,12,0.0930000000012683,4339952
"cohort trace",27,24,0.108000000000118,4409936
"cohort trace",27,36,0.125999999998237,4479920
"cohort trace",27,48,0.13400000000064,4549904
"cohort trace",27,60,0.154000000001042,4619888
"cohort trace",27,72,0.170000000001539,4689872
"cohort trace",27,84,0.18599999999874,4759856
"cohort trace",27,96,0.192000000000075,4829840
"cohort trace",27,108,0.206999999999698,4899824
"cohort trace",27,120,0.217000000000848,4969808
"cohort trace",27,132,0.232000000001835,5039792
"cohort trace",27,144,0.239999999997963,5109776
"cohort trace",27,156,0.255999999999926,5179760
"cohort trace",27,168,0.266000000000304,5249744
"cohort trace",27,180,0.283999999996616,5319728
"cohort trace",27,192,0.290000000001521,5389712
"cohort trace",27,204,0.302999999998144,5459696
"cohort trace",27,216,0.327000000001374,5529680
"cohort trace",27,228,0.35100000000233,5599664
"cohort trace",27,240,0.36099999999891,5669648
"cohort trace",27,252,0.371000000000379,5739632
"cohort trace",27,264,0.38200000000096,5809616
"cohort trace",27,276,0.405000000001803,5879600
"cohort trace",27,288,0.408999999999344,5949584
"cohort trace",27,300,0.420999999998264,6019568
"cohort trace",27,312,0.431000000000427,6089552
"cohort trace",27,324,0.448999999999512,6159536
"cohort trace",27,336,0.462999999998885,6229520
"cohort trace",27,348,0.464999999998213,6299504
"cohort trace",27,360,0.491999999999257,6369488
"cohort trace",27,372,0.502000000000407,6439472
"cohort trace",27,384,0.514999999997963,6509456
"cohort trace",27,396,0.545000000000141,6579440
"cohort trace",27,408,0.546999999996069,6649424
"cohort trace",27,420,0.581000000000279,6719408
"cohort trace",27,432,0.568999999995003,6789392
"cohort trace",27,444,0.576000000001761,6859376
"cohort trace",27,456,0.589999999997906,6929360
"cohort trace",27,468,0.598000000000832,6999344
"cohort trace",27,480,0.630000000000678,7069328
"cohort trace",27,492,0.655000000001803,7139312
"cohort trace",27,504,0.680999999995038,7209296
"cohort trace",27,516,0.664999999998054,7279280
"cohort trace",27,528,0.680000000000541,7349264
"cohort trace",27,540,0.686999999999296,7419248
"cohort trace",27,552,0.721000000001288,7489232
"cohort trace",27,564,0.741999999999632,7559216
"cohort trace",27,576,0.735999999998762,7629200
"cohort trace",27,588,0.730999999998312,7699184
"cohort trace",27,600,0.754000000000201,7769168
"cohort trace",27,612,0.784000000000242,7839152
"cohort trace",27,624,0.825999999997725,7909136
"cohort trace",27,636,0.813000000000852,7979120
"cohort trace",27,648,0.797999999999831,8049104
"cohort trace",27,660,0.80400000000011,8119088
"cohort trace",27,672,0.819999999999584,8189072
"cohort trace",27,684,0.866999999997097,8259056
"cohort trace",27,696,0.888999999998259,8329040
"cohort trace",27,708,0.852000000001647,8399024
"cohort trace",27,720,0.891999999997586,8469008
"cohort trace",27,732,0.909999999999911,8538992
"cohort trace",27,744,0.920999999998526,8608976
